Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Settlement_Date_missing,FNOL_Month_Num,FNOL_DayOfWeek,FNOL_IsWeekend,Ultimate_Claim_Amount_Capped,is_extreme_claim,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band,num_third_parties,max_injury_severity,has_minor,has_serious,has_fatality,has_pedestrian,has_passenger,has_driver
CLM30026,POL14251,2021-11-01,2021-11-01,Weather,Low,False,False,97925,83494.0,Severe,2022-01-20,settled,0,11,0,False,83494.0,False,CUST24251,60,Female,Retired,Bristol,11777,39,Coupe,9,Fair,,,,,,,,
CLM30027,POL13657,2018-10-15,2018-10-15,Collision,Medium,False,False,22003,20770.0,Severe,2019-04-01,settled,0,10,0,False,20770.0,False,CUST23657,69,Male,Retired,Birmingham,6402,48,Sedan,18,Excellent,,,,,,,,
CLM30028,POL14585,2020-07-03,2020-07-10,Collision,Medium,False,False,119420,137304.0,Catastrophic,2021-04-15,settled,0,7,4,False,137304.0,False,CUST24585,47,Female,Self-Employed,Edinburgh,8037,29,Sedan,18,Excellent,1.0,1.0,True,False,False,False,True,False
CLM30029,POL12010,2023-06-16,2023-06-17,Other,Medium,False,False,7278,4969.0,Moderate,2023-11-22,settled,0,6,5,True,4969.0,False,CUST22010,69,Female,Retired,Bristol,8010,51,Hatchback,2,Good,1.0,1.0,True,False,False,False,True,False
CLM30030,POL14270,2022-07-13,2022-07-13,Collision,Low,False,False,1950,1209.0,Minor,2022-09-22,settled,0,7,2,False,1209.0,False,CUST24270,21,Female,Student,London,18461,0,SUV,12,Excellent,,,,,,,,
CLM30031,POL13910,2021-10-31,2021-10-31,Collision,Low,False,False,1675,1331.0,Minor,2022-01-20,settled,0,10,6,True,1331.0,False,CUST23910,59,Male,Unemployed,Edinburgh,10779,39,Sedan,18,Excellent,,,,,,,,
CLM30032,POL13213,2020-06-16,2020-06-17,Collision,Low,False,False,36114,35659.0,Severe,2020-09-25,settled,0,6,2,False,35659.0,False,CUST23213,30,Male,Employed,Manchester,8518,10,Sedan,14,Good,,,,,,,,
CLM30033,POL14805,2021-02-16,2021-02-17,Weather,Low,False,False,3064,2310.0,Minor,2021-05-12,settled,0,2,2,False,2310.0,False,CUST24805,74,Female,Retired,Birmingham,6368,56,Sedan,15,Fair,1.0,1.0,True,False,False,False,True,False
CLM30034,POL13557,2022-06-28,2022-06-29,Collision,High,False,False,37914,38582.0,Severe,2022-11-25,settled,0,6,2,False,38582.0,False,CUST23557,34,Female,Student,Edinburgh,18206,12,Hatchback,17,Fair,,,,,,,,
CLM30035,POL14048,2019-11-11,2019-11-12,Collision,Low,False,True,1771,1259.0,Minor,2019-12-15,settled,0,11,1,False,1259.0,False,CUST24048,72,Female,Retired,Newcastle,9700,53,Sedan,3,Fair,,,,,,,,
CLM30036,POL11294,2019-10-03,2019-10-04,Collision,Low,False,False,1752,1512.0,Minor,2019-11-19,settled,0,10,4,False,1512.0,False,CUST21294,74,Female,Retired,Manchester,11121,53,Hatchback,14,Fair,,,,,,,,
CLM30037,POL10236,2022-12-23,2022-12-23,Fire,Low,False,False,25318,17243.0,Moderate,2023-03-15,settled,0,12,4,False,17243.0,False,CUST20236,53,Female,Employed,Cardiff,13823,34,Hatchback,3,Excellent,,,,,,,,
CLM30038,POL14772,2019-10-20,2019-10-20,Other,Low,False,False,2513,1700.0,Minor,2019-11-23,settled,0,10,6,True,1700.0,False,CUST24772,52,Female,Employed,Liverpool,11188,30,Van,3,Fair,1.0,1.0,True,False,False,False,True,False
CLM30039,POL11287,2022-09-28,2022-09-28,Collision,Low,False,False,38556,32864.0,Severe,2022-12-27,settled,0,9,2,False,32864.0,False,CUST21287,19,Female,Student,Cardiff,8658,0,Hatchback,0,Fair,,,,,,,,
CLM30040,POL13078,2022-07-28,2022-07-28,Collision,Medium,False,True,168118,170516.0,Catastrophic,2023-02-28,settled,0,7,3,False,170516.0,False,CUST23078,51,Female,Retired,Cardiff,12619,32,Hatchback,8,Excellent,,,,,,,,
CLM30041,POL10605,2025-06-26,2025-07-03,Weather,Low,False,False,2576,1742.0,Minor,2025-08-03,settled,0,7,3,False,1742.0,False,CUST20605,25,Male,Student,Bristol,11479,5,Coupe,12,Fair,,,,,,,,
CLM30042,POL14782,2021-09-06,2021-09-06,Collision,Medium,False,False,13473,11489.0,Major,2021-12-29,settled,0,9,0,False,11489.0,False,CUST24782,33,Male,Employed,London,9162,11,SUV,1,Poor,1.0,1.0,True,False,False,False,False,True
CLM30043,POL11804,2019-03-15,2019-03-16,Vandalism,Low,False,False,1275,826.0,Minor,2019-04-26,settled,0,3,5,True,826.0,False,CUST21804,72,Female,Retired,Liverpool,11567,50,SUV,5,Good,,,,,,,,
CLM30044,POL12776,2023-11-13,2023-11-14,Theft,Low,False,False,4899,4150.0,Minor,2023-12-23,settled,0,11,1,False,4150.0,False,CUST22776,46,Male,Unemployed,Edinburgh,9530,27,Sedan,4,Good,1.0,1.0,True,False,False,False,True,False
CLM30045,POL12517,2024-09-23,2024-09-23,Weather,Low,False,True,4348,2241.0,Minor,2024-12-18,settled,0,9,0,False,2241.0,False,CUST22517,73,Female,Retired,Bristol,14781,51,Hatchback,16,Excellent,,,,,,,,
CLM30046,POL10107,2020-02-12,2020-02-18,Collision,Low,False,False,3138,1644.0,Minor,2020-04-09,settled,0,2,1,False,1644.0,False,CUST20107,70,Female,Retired,Bristol,12330,51,Sedan,20,Good,,,,,,,,
CLM30047,POL10210,2022-12-17,2022-12-17,Fire,Low,False,False,8069,6740.0,Minor,2023-03-13,settled,0,12,5,True,6740.0,False,CUST20210,29,Female,Unemployed,Leeds,7630,7,SUV,11,Excellent,,,,,,,,
CLM30048,POL10634,2019-08-07,2019-08-09,Collision,Low,False,False,1818,2386.0,Minor,2019-11-04,settled,0,8,4,False,2386.0,False,CUST20634,69,Female,Employed,Edinburgh,13190,48,SUV,16,Good,,,,,,,,
CLM30049,POL14444,2024-11-27,2024-11-29,Weather,Low,False,True,5946,3765.0,Moderate,2024-12-30,settled,0,11,4,False,3765.0,False,CUST24444,27,Female,Self-Employed,Leeds,10245,5,Coupe,4,Excellent,,,,,,,,
CLM30050,POL11426,2022-01-01,2022-01-06,Collision,Low,False,True,3912,3514.0,Minor,2022-02-16,settled,0,1,3,False,3514.0,False,CUST21426,49,Male,Self-Employed,Cardiff,7550,31,Van,10,Excellent,,,,,,,,
CLM30051,POL12943,2025-08-26,2025-08-26,Weather,Low,False,False,3798,3378.0,Minor,2025-10-30,settled,0,8,1,False,3378.0,False,CUST22943,31,Female,Self-Employed,Glasgow,11571,13,SUV,19,Good,,,,,,,,
CLM30052,POL12849,2022-10-09,2022-10-09,Collision,Low,False,False,4093,3294.0,Moderate,2022-12-04,settled,0,10,6,True,3294.0,False,CUST22849,50,Female,Self-Employed,Glasgow,16626,29,Hatchback,2,Excellent,,,,,,,,
CLM30053,POL11567,2025-03-10,2025-03-12,Fire,Low,False,False,36763,22947.5,Moderate,,open,1,3,2,False,22947.5,False,CUST21567,40,Male,Unemployed,Manchester,10666,21,SUV,20,Poor,,,,,,,,
CLM30054,POL11286,2020-11-14,2020-11-15,Collision,Low,False,False,3203,2622.0,Minor,2021-02-01,settled,0,11,6,True,2622.0,False,CUST21286,79,Male,Retired,Liverpool,9803,60,SUV,5,Excellent,2.0,1.0,True,False,False,False,True,False
CLM30055,POL13260,2019-06-30,2019-07-03,Collision,Low,False,True,1686,1030.0,Minor,2019-09-28,settled,0,7,2,False,1030.0,False,CUST23260,42,Female,Employed,Edinburgh,6947,22,Motorcycle,18,Poor,,,,,,,,
CLM30056,POL12025,2019-03-25,2019-03-27,Weather,Medium,False,False,67535,61698.0,Severe,2019-09-12,settled,0,3,2,False,61698.0,False,CUST22025,18,Female,Employed,London,9946,0,SUV,6,Poor,1.0,1.0,True,False,False,False,True,False
CLM30057,POL11511,2021-04-09,2021-04-13,Fire,Low,False,False,14073,9855.0,Minor,2021-05-31,settled,0,4,1,False,9855.0,False,CUST21511,56,Female,Unemployed,Birmingham,10435,37,SUV,17,Good,1.0,1.0,True,False,False,False,False,True
CLM30058,POL11854,2021-12-17,2021-12-23,Theft,Low,False,False,6428,5137.0,Minor,2022-03-09,settled,0,12,3,False,5137.0,False,CUST21854,21,Male,Unemployed,Bristol,18134,0,Sedan,18,Excellent,,,,,,,,
CLM30059,POL12639,2019-08-11,2019-08-11,Vandalism,Low,False,False,2570,1653.0,Moderate,2019-11-15,settled,0,8,6,True,1653.0,False,CUST22639,44,Male,Employed,Liverpool,10129,24,SUV,5,Fair,,,,,,,,
CLM30060,POL14434,2021-04-29,2021-04-29,Vandalism,Low,False,False,3136,2767.0,Moderate,2021-06-12,settled,0,4,3,False,2767.0,False,CUST24434,18,Female,Student,Leeds,18208,0,SUV,6,Good,,,,,,,,
CLM30061,POL12312,2019-11-06,2019-11-07,Theft,Medium,False,True,13429,10357.0,Moderate,2020-03-03,settled,0,11,3,False,10357.0,False,CUST22312,43,Female,Employed,Bristol,12592,23,SUV,7,Fair,,,,,,,,
CLM30062,POL12444,2022-12-23,2022-12-24,Theft,High,False,False,135828,142362.0,Severe,2023-11-05,settled,0,12,5,True,142362.0,False,CUST22444,24,Female,Unemployed,Cardiff,13678,6,SUV,4,Excellent,,,,,,,,
CLM30063,POL12429,2021-10-31,2021-10-31,Vandalism,Low,False,False,1620,849.0,Minor,2022-01-22,settled,0,10,6,True,849.0,False,CUST22429,57,Male,Employed,Liverpool,7795,36,Motorcycle,14,Good,1.0,1.0,True,False,False,False,False,True
CLM30064,POL11062,2023-10-20,2023-10-20,Weather,Low,False,False,2397,2077.0,Minor,2023-12-28,settled,0,10,4,False,2077.0,False,CUST21062,22,Female,Student,Newcastle,9632,2,Hatchback,3,Excellent,,,,,,,,
CLM30065,POL14272,2022-10-22,2022-10-24,Collision,Low,False,False,8727,7680.0,Moderate,2023-01-03,settled,0,10,0,False,7680.0,False,CUST24272,40,Male,Employed,Glasgow,19144,19,SUV,15,Fair,,,,,,,,
CLM30066,POL12417,2020-07-16,2020-07-18,Collision,Medium,False,False,1261,928.0,Minor,2020-12-11,settled,0,7,5,True,928.0,False,CUST22417,79,Female,Retired,Liverpool,9106,60,Hatchback,1,Poor,,,,,,,,
CLM30067,POL10018,2022-11-13,2022-11-14,Collision,Low,False,False,10838,10726.0,Major,2022-12-27,settled,0,11,0,False,10726.0,False,CUST20018,56,Female,Unemployed,Liverpool,12240,34,Hatchback,0,Excellent,1.0,1.0,True,False,False,False,False,True
CLM30068,POL14427,2022-09-13,2022-09-19,Collision,Low,False,False,9967,9338.0,Major,2022-11-26,settled,0,9,0,False,9338.0,False,CUST24427,34,Male,Employed,Glasgow,10374,13,SUV,17,Good,,,,,,,,
CLM30069,POL11529,2021-01-24,2021-01-24,Collision,Low,False,False,5099,4449.0,Moderate,2021-04-05,settled,0,1,6,True,4449.0,False,CUST21529,53,Male,Employed,Manchester,8035,33,Sedan,0,Good,,,,,,,,
CLM30070,POL12575,2021-09-16,2021-09-22,Collision,Low,False,False,1255,771.0,Minor,2021-12-16,settled,0,9,2,False,771.0,False,CUST22575,67,Female,Retired,Bristol,18248,47,Van,20,Fair,,,,,,,,
CLM30071,POL14209,2019-07-08,2019-07-10,Collision,Medium,False,False,1513,838.0,Minor,2019-11-08,settled,0,7,2,False,838.0,False,CUST24209,75,Male,Retired,Liverpool,9623,53,Coupe,12,Poor,1.0,1.0,True,False,False,False,True,False
CLM30072,POL12207,2025-07-19,2025-07-20,Collision,Low,False,True,6707,4148.0,Moderate,2025-09-16,settled,0,7,6,True,4148.0,False,CUST22207,30,Male,Employed,Manchester,19240,11,SUV,12,Good,,,,,,,,
CLM30073,POL14108,2020-08-19,2020-08-19,Collision,Low,False,False,1840,1001.0,Minor,2020-11-10,settled,0,8,2,False,1001.0,False,CUST24108,70,Female,Retired,Edinburgh,17241,50,SUV,2,Excellent,,,,,,,,
CLM30074,POL10254,2024-09-14,2024-09-14,Fire,Medium,False,False,11667,8850.0,Minor,2024-12-26,settled,0,9,5,True,8850.0,False,CUST20254,21,Female,Employed,Bristol,13215,2,Hatchback,12,Fair,,,,,,,,
CLM30075,POL14830,2021-06-17,2021-06-19,Collision,Low,False,False,3717,2859.0,Moderate,2021-08-15,settled,0,6,5,True,2859.0,False,CUST24830,53,Female,Employed,Glasgow,15468,33,Sedan,12,Poor,1.0,1.0,True,False,False,False,True,False
CLM30076,POL12263,2020-07-19,2020-07-19,Collision,Low,True,False,1542,915.0,Minor,2020-08-27,settled,0,7,6,True,915.0,False,CUST22263,41,Female,Employed,Leeds,12076,19,Van,11,Excellent,,,,,,,,
CLM30077,POL14880,2023-11-25,2023-11-26,Collision,Low,False,False,2804,1649.0,Minor,2024-02-19,settled,0,11,6,True,1649.0,False,CUST24880,56,Female,Unemployed,Manchester,9307,37,SUV,1,Fair,,,,,,,,
CLM30078,POL10368,2022-12-21,2022-12-21,Collision,Low,False,False,4077,3415.0,Moderate,2023-02-25,settled,0,12,2,False,3415.0,False,CUST20368,18,Male,Employed,Glasgow,17936,0,Sedan,9,Fair,,,,,,,,
CLM30079,POL10744,2021-09-28,2021-09-28,Vandalism,Medium,False,False,1759,1214.0,Minor,2022-01-08,settled,0,9,1,False,1214.0,False,CUST20744,58,Female,Employed,Leeds,13257,40,Van,4,Poor,,,,,,,,
CLM30080,POL11012,2024-12-17,2024-12-19,Theft,Low,False,False,5502,3764.0,Minor,2025-03-15,settled,0,12,3,False,3764.0,False,CUST21012,30,Male,Student,Cardiff,12084,10,Sedan,14,Good,,,,,,,,
CLM30081,POL12866,2021-03-06,2021-03-09,Collision,Low,False,False,11592,14178.0,Major,2021-05-07,settled,0,3,1,False,14178.0,False,CUST22866,57,Male,Employed,London,13271,39,SUV,13,Good,,,,,,,,
CLM30082,POL13055,2022-05-09,2022-05-09,Collision,Low,False,False,4951,3309.0,Moderate,2022-06-20,settled,0,5,0,False,3309.0,False,CUST23055,53,Male,Self-Employed,London,8283,31,Sedan,10,Good,,,,,,,,
CLM30083,POL10991,2019-05-06,2019-05-06,Collision,Low,False,False,1818,1382.0,Minor,2019-06-18,settled,0,5,0,False,1382.0,False,CUST20991,36,Female,Self-Employed,London,16694,17,Coupe,6,Excellent,2.0,1.0,True,False,False,True,True,False
CLM30084,POL12847,2021-04-14,2021-04-14,Collision,Medium,False,False,1983,1295.0,Minor,2021-07-07,settled,0,4,2,False,1295.0,False,CUST22847,53,Male,Employed,Edinburgh,2232,32,SUV,6,Good,,,,,,,,
CLM30085,POL14965,2019-01-28,2019-01-31,Collision,Low,False,False,1911,1195.0,Minor,2019-03-26,settled,0,1,3,False,1195.0,False,CUST24965,43,Female,Employed,Newcastle,13273,22,SUV,1,Good,,,,,,,,
CLM30086,POL14544,2022-04-03,2022-04-05,Collision,Medium,False,False,3671,2540.0,Moderate,,open,1,4,1,False,2540.0,False,CUST24544,39,Female,Self-Employed,Bristol,16104,18,Sedan,14,Poor,,,,,,,,
CLM30087,POL12509,2023-03-20,2023-03-23,Weather,Low,False,False,5534,4161.0,Moderate,2023-05-12,settled,0,3,3,False,4161.0,False,CUST22509,52,Male,Self-Employed,Birmingham,10460,30,Hatchback,2,Excellent,,,,,,,,
CLM30088,POL12296,2021-09-19,2021-09-26,Collision,Low,False,False,2720,1424.0,Minor,2021-11-01,settled,0,9,6,True,1424.0,False,CUST22296,35,Female,Employed,Manchester,12517,16,Hatchback,8,Fair,,,,,,,,
CLM30089,POL14197,2019-06-17,2019-06-19,Theft,Medium,False,False,8743,7386.0,Moderate,2019-10-19,settled,0,6,2,False,7386.0,False,CUST24197,61,Male,Self-Employed,Birmingham,10314,39,Sedan,14,Excellent,1.0,2.0,False,True,False,True,False,False
CLM30090,POL14071,2021-01-30,2021-01-31,Collision,Medium,False,False,3344,2742.0,Moderate,2021-07-04,settled,0,1,6,True,2742.0,False,CUST24071,39,Male,Employed,Bristol,7708,20,Motorcycle,19,Good,2.0,1.0,True,False,False,False,True,True
CLM30091,POL14545,2025-01-28,2025-01-29,Theft,Low,False,False,13726,16564.0,Moderate,2025-03-17,settled,0,1,2,False,16564.0,False,CUST24545,70,Female,Retired,Bristol,22267,50,Sedan,16,Excellent,,,,,,,,
CLM30092,POL11593,2022-03-30,2022-04-01,Collision,Low,False,True,1970,1003.0,Minor,2022-06-12,settled,0,4,4,False,1003.0,False,CUST21593,43,Male,Employed,Bristol,12268,25,Hatchback,0,Good,,,,,,,,
CLM30093,POL10238,2021-02-05,2021-02-07,Theft,Low,False,False,4751,6836.5,Minor,,open,1,2,6,True,6836.5,False,CUST20238,57,Female,Employed,Cardiff,15440,38,SUV,19,Excellent,,,,,,,,
CLM30094,POL10630,2024-04-24,2024-04-29,Collision,Low,False,False,3884,2540.0,Moderate,,open,1,4,0,False,2540.0,False,CUST20630,62,Male,Employed,Edinburgh,9282,42,Hatchback,14,Good,,,,,,,,
CLM30095,POL12065,2023-02-25,2023-02-25,Collision,Low,False,False,2094,1252.0,Minor,2023-04-27,settled,0,2,5,True,1252.0,False,CUST22065,30,Female,Employed,Cardiff,13807,11,Hatchback,11,Good,1.0,1.0,True,False,False,False,False,True
CLM30096,POL11836,2023-11-11,2023-11-18,Vandalism,Low,False,False,5172,1556.5,Major,,open,1,11,5,True,1556.5,False,CUST21836,31,Male,Self-Employed,Liverpool,12721,13,Sedan,12,Good,,,,,,,,
CLM30097,POL11717,2020-04-26,2020-04-27,Collision,Medium,False,False,3431,2809.0,Minor,2020-09-27,settled,0,4,0,False,2809.0,False,CUST21717,39,Male,Employed,Edinburgh,6477,17,Hatchback,16,Poor,,,,,,,,
CLM30098,POL14018,2021-09-07,2021-09-13,Collision,Low,False,False,2364,3455.0,Minor,2021-11-10,settled,0,9,0,False,3455.0,False,CUST24018,40,Male,Employed,Glasgow,12064,22,Coupe,4,Excellent,,,,,,,,
CLM30099,POL13508,2020-04-12,2020-04-13,Collision,Medium,False,False,9900,10522.0,Major,2020-10-15,settled,0,4,0,False,10522.0,False,CUST23508,19,Female,Employed,Edinburgh,14448,0,Sedan,5,Fair,1.0,2.0,False,True,False,True,False,False
CLM30100,POL12775,2021-06-25,2021-06-25,Collision,High,False,False,13811,13620.0,Major,2022-01-09,settled,0,6,4,False,13620.0,False,CUST22775,36,Male,Employed,Manchester,17257,16,SUV,20,Excellent,1.0,1.0,True,False,False,False,False,True
CLM30101,POL11800,2025-01-04,2025-01-04,Collision,High,False,False,127927,132135.0,Catastrophic,2025-05-12,settled,0,1,5,True,132135.0,False,CUST21800,58,Male,Self-Employed,London,13583,40,Coupe,2,Excellent,2.0,2.0,True,True,False,False,True,True
CLM30102,POL11416,2024-10-04,2024-10-04,Weather,Low,False,False,3045,1841.0,Minor,2024-11-24,settled,0,10,4,False,1841.0,False,CUST21416,34,Female,Employed,Cardiff,9726,15,Sedan,15,Poor,,,,,,,,
CLM30103,POL11269,2021-08-30,2021-08-30,Collision,High,False,False,36216,32203.0,Severe,2022-03-10,settled,0,8,0,False,32203.0,False,CUST21269,23,Female,Employed,Birmingham,15609,2,Hatchback,4,Fair,,,,,,,,
CLM30104,POL12455,2025-04-09,2025-04-14,Collision,Low,False,False,3864,3596.0,Moderate,2025-05-28,settled,0,4,0,False,3596.0,False,CUST22455,59,Female,Self-Employed,Edinburgh,8167,40,SUV,10,Excellent,,,,,,,,
CLM30105,POL11342,2023-07-09,2023-07-12,Collision,Low,False,False,2661,1359.0,Minor,2023-08-30,settled,0,7,2,False,1359.0,False,CUST21342,29,Female,Employed,Birmingham,12924,8,Sedan,6,Fair,,,,,,,,
CLM30106,POL11962,2025-04-05,2025-04-05,Collision,Low,False,False,2335,1278.0,Minor,2025-06-03,settled,0,4,5,True,1278.0,False,CUST21962,49,Male,Self-Employed,Cardiff,10674,30,Hatchback,3,Excellent,,,,,,,,
CLM30107,POL11272,2023-03-12,2023-03-12,Weather,Low,False,False,3706,2889.0,Minor,2023-05-25,settled,0,3,6,True,2889.0,False,CUST21272,75,Female,Retired,Bristol,8376,57,Sedan,8,Good,2.0,1.0,True,False,False,False,True,True
CLM30108,POL13163,2022-10-10,2022-10-10,Fire,Low,False,False,15836,8661.0,Minor,2022-12-14,settled,0,10,0,False,8661.0,False,CUST23163,19,Male,Employed,Newcastle,8349,0,Coupe,10,Poor,,,,,,,,
CLM30109,POL13297,2021-03-05,2021-03-10,Collision,Low,False,False,1939,1122.0,Minor,2021-04-17,settled,0,3,2,False,1122.0,False,CUST23297,59,Male,Employed,Bristol,8369,40,Sedan,17,Excellent,,,,,,,,
